run,target,threshold,tp,fp,recall,precision,alert_rate
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.06407642e-08,50779,7617357,1.000000,0.006622,0.693479652
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.0850738e-08,50779,7555375,1.000000,0.006676,0.687874215
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.10648552e-08,50779,7499457,1.000000,0.006725,0.682817185
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.12831976e-08,50779,7446015,1.000000,0.006773,0.677984076
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.15058485e-08,50779,7389794,1.000000,0.006825,0.672899643
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.17328929e-08,50779,7339038,1.000000,0.006871,0.668309446
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.19644177e-08,50779,7278266,1.000000,0.006928,0.662813437
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.22005111e-08,50779,7225890,1.000000,0.006978,0.658076733
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.24412633e-08,50779,7172455,1.000000,0.007030,0.653244257
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.26867663e-08,50779,7116721,1.000000,0.007085,0.648203867
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.29371138e-08,50779,7059220,1.000000,0.007142,0.643003676
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.31924013e-08,50779,7004572,1.000000,0.007197,0.638061500
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.34527265e-08,50779,6950171,1.000000,0.007253,0.633141662
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.37181886e-08,50779,6899138,1.000000,0.007306,0.628526414
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.39888891e-08,50779,6846376,1.000000,0.007362,0.623754802
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.42649313e-08,50779,6791713,1.000000,0.007421,0.618811270
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.45464207e-08,50779,6725267,1.000000,0.007494,0.612802124
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.48334647e-08,50779,6671625,1.000000,0.007554,0.607950927
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.51261729e-08,50779,6617028,1.000000,0.007616,0.603013363
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.5424657e-08,50779,6564168,1.000000,0.007676,0.598232888
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.57290312e-08,50779,6504500,1.000000,0.007746,0.592836721
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.60394116e-08,50779,6449696,1.000000,0.007812,0.587880437
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.63559167e-08,50779,6386647,1.000000,0.007888,0.582178504
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.66786674e-08,50779,6321909,1.000000,0.007968,0.576323824
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.70077869e-08,50779,6250333,1.000000,0.008059,0.569850738
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.73434009e-08,50779,6189664,1.000000,0.008137,0.564364044
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.76856376e-08,50779,6133423,1.000000,0.008211,0.559277803
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.80346276e-08,50779,6080715,1.000000,0.008282,0.554511074
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.83905042e-08,50779,6029290,1.000000,0.008352,0.549860375
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.87534033e-08,50779,5975604,1.000000,0.008426,0.545005199
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.91234635e-08,50779,5924859,1.000000,0.008498,0.540415997
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.95008261e-08,50779,5862193,1.000000,0.008588,0.534748701
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.98856352e-08,50779,5806055,1.000000,0.008670,0.529671775
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.02780376e-08,50779,5752654,1.000000,0.008750,0.524842374
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.06781834e-08,50779,5697952,1.000000,0.008833,0.519895314
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.10862252e-08,50779,5645459,1.000000,0.008914,0.515148029
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.15023189e-08,50779,5589669,1.000000,0.009003,0.510102575
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.19266233e-08,50779,5540653,1.000000,0.009082,0.505669738
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.23593005e-08,50779,5485517,1.000000,0.009172,0.500683429
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.28005158e-08,50779,5435998,1.000000,0.009255,0.496205102
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.32504375e-08,50779,5378247,1.000000,0.009353,0.490982302
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.37092375e-08,50779,5320482,1.000000,0.009454,0.485758235
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.41770909e-08,50779,5273405,1.000000,0.009537,0.481500755
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.46541766e-08,50779,5216269,1.000000,0.009641,0.476333573
