run,target,threshold,tp,fp,recall,precision,alert_rate
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.82498262e-08,50782,17429829,1.000000,0.002905,0.752613972
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.93992677e-08,50782,17398908,1.000000,0.002910,0.751282693
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.05713912e-08,50782,17363500,1.000000,0.002916,0.749758229
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.17666441e-08,50782,17330502,1.000000,0.002922,0.748337526
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.29854829e-08,50782,17284180,1.000000,0.002929,0.746343169
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.4228373e-08,50782,17243358,1.000000,0.002936,0.744585610
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.54957889e-08,50782,17200580,1.000000,0.002944,0.742743836
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.67882148e-08,50782,17162967,1.000000,0.002950,0.741124438
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.8106144e-08,50782,17118676,1.000000,0.002958,0.739217524
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.94500799e-08,50782,17085719,1.000000,0.002963,0.737798586
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.08205356e-08,50782,17052277,1.000000,0.002969,0.736358767
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.22180345e-08,50782,17013210,1.000000,0.002976,0.734676768
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.36431101e-08,50782,16979384,1.000000,0.002982,0.733220416
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.50963068e-08,50782,16937142,1.000000,0.002989,0.731401720
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.65781792e-08,50782,16890643,1.000000,0.002998,0.729399742
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.80892934e-08,50782,16855441,1.000000,0.003004,0.727884148
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.96302264e-08,50782,16823736,1.000000,0.003009,0.726519114
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,8.12015665e-08,50782,16788139,1.000000,0.003016,0.724986513
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,8.28039139e-08,50782,16750528,1.000000,0.003023,0.723367201
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,8.44378802e-08,50782,16718078,1.000000,0.003028,0.721970092
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,8.61040896e-08,50782,16680523,1.000000,0.003035,0.720353191
